lat,lng
3.1824143,101.6487496
3.1911831,101.6780996
3.1854222,101.6559948
3.1829779,101.6771936
3.178659,101.6542844
3.182661,101.6743136
3.1831631,101.6490166
3.1836303,101.6747209
3.182661,101.6743136
3.1857784,101.6781565
3.180567,101.6566253
3.182661,101.6743136
3.1862782,101.6774555
3.187403,101.6775367
3.183979,101.6776572
3.1960935,101.6546459
3.1947453,101.6598689
3.180842,101.650901
3.1856709,101.6569132
3.178659,101.6542844
3.1960724,101.6585147
3.1854222,101.6559948
3.1854222,101.6559948
3.183303,101.6601368
3.182661,101.6743136
3.197929,101.6570829
3.182661,101.6743136
3.1858813,101.6686984
3.187179,101.6666108
3.1879824,101.6488778
3.1817114,101.6805274
3.191726,101.6733869
3.1806976,101.6511569
3.182661,101.6743136
3.178659,101.6542844
3.1811488,101.6486263
3.183303,101.6601368
3.182661,101.6743136
3.1771984,101.6534466
3.1807056,101.651275
3.1817114,101.6805274
3.2077724,101.6566236
3.1856709,101.6569132
3.1858813,101.6686984
3.184608,101.676526
3.1858813,101.6686984
3.183303,101.6601368
3.1973419,101.6561702
3.1921075,101.6521569
3.1817308,101.6776926
3.1976132,101.6592372
3.183303,101.6601368
3.1879824,101.6488778
3.1824154,101.6593548
3.1806224,101.6602472
3.1881471,101.6564699
3.1958905,101.6591471
3.1979797,101.6583281
3.1968689,101.6560638
3.1858813,101.6686984
3.1840909,101.6703754
3.1954173,101.6734441
3.197021,101.6582307
3.1947453,101.6598689
3.182661,101.6743136
3.1880742,101.656674
3.1963775,101.6733446
3.1917109,101.6641597
3.1847445,101.6697416
3.1837104,101.6786596
3.1858332,101.660639
3.1871962,101.6668043
3.1973451,101.655648
3.1978673,101.6540337
3.1829019,101.6607993
3.1969508,101.6550167
3.1858813,101.6686984
3.1991992,101.6585633
3.182661,101.6743136
3.1800833,101.6593963
3.178659,101.6542844
3.180567,101.6566253
3.1947453,101.6598689
3.1833477,101.6743776
3.178659,101.6542844
3.1858813,101.6686984
3.183303,101.6601368
3.1858813,101.6686984
3.182661,101.6743136
3.1883441,101.6787879
3.1895004,101.6727117
3.191726,101.6733869
3.188857,101.6792047
3.1983934,101.6574922
3.1856709,101.6569132
3.182661,101.6743136
3.1818239,101.6584383
3.1858813,101.6686984
3.1947453,101.6598689
3.1840909,101.6703754
3.1847445,101.6697416
3.1840909,101.6703754
3.1847445,101.6697416
3.1847445,101.6697416
3.1847445,101.6697416
3.1847445,101.6697416
3.1880382,101.6559793
3.1858813,101.6686984
3.182713,101.676776
3.191726,101.6733869
3.1858813,101.6686984
3.195423,101.6565622
3.1858813,101.6686984
3.1887911,101.6561759
3.178612,101.65495
3.178659,101.6542844
3.1965147,101.6736793
3.1820478,101.6580322
3.1831115,101.6765861
3.1858813,101.6686984
3.191726,101.6733869
3.1879824,101.6488778
3.1969931,101.6579976
3.1810448,101.6515574
3.1817114,101.6805274
3.1875551,101.6780558
3.1856709,101.6569132
3.1874524,101.6761104
3.1806224,101.6602472
3.186123,101.6774174
3.178612,101.65495
3.1900282,101.6716947
3.1818728,101.6585147
3.182661,101.6743136
3.1858813,101.6686984
3.1818728,101.6585147
3.1976628,101.6540279
3.1858813,101.6686984
3.191726,101.6733869
3.1957524,101.6737982
3.1856709,101.6569132
3.1976338,101.6571754
3.1902123,101.6634616
3.182661,101.6743136
3.1976193,101.655096
3.1986569,101.652803
3.1983934,101.6574922
3.1834367,101.6769275
3.1910165,101.6645711
3.1817114,101.6805274
3.1979844,101.6605257
3.1817943,101.6570089
3.1956729,101.6565808
3.178659,101.6542844
3.1991992,101.6585633
3.1854876,101.6789115
3.1973421,101.6550942
3.182661,101.6743136
3.199217,101.6569699
3.1967957,101.6557393
3.1856709,101.6569132
3.1858813,101.6686984
3.182661,101.6743136
3.1842401,101.6598231
3.1834392,101.6603264
3.1969495,101.6533468
3.1841964,101.6761114
3.1858813,101.6686984
3.182661,101.6743136
3.1891565,101.6744797
3.182661,101.6743136
3.183303,101.6601368
3.199365,101.6527621
3.183303,101.6601368
3.1961821,101.6642487
3.178612,101.65495
3.1821729,101.6771667
3.1862143,101.6598106
3.1806224,101.6602472
3.178659,101.6542844
3.1854285,101.656071
3.1974191,101.6580078
3.183303,101.6601368
3.1922351,101.6531727
3.1868452,101.6622195
3.182661,101.6743136
3.1856709,101.6569132
3.1856709,101.6569132
3.1992664,101.6585592
3.1970297,101.6582624
3.1980469,101.6540424
3.1970202,101.6541552
3.1872595,101.6750322
3.1833928,101.6515138
3.1844882,101.6770775
3.1865314,101.6775399
3.1836303,101.6747209
3.1894686,101.6756102
3.1787129,101.6595158
3.1858813,101.6686984
3.1684418,101.6479771
3.1832202,101.6759211
3.197021,101.6582307
3.1947453,101.6598689
3.197774,101.6532298
3.1831454,101.6591038
3.1812272,101.6780101
3.1840518,101.6597461
3.1875234,101.6759651
3.1843081,101.6781994
3.1878989,101.6573865
3.1868452,101.6622195
3.1856709,101.6569132
3.1836303,101.6747209
3.191726,101.6733869
3.1897537,101.6580708
3.1840617,101.6476377
3.1861565,101.6574033
3.1894686,101.6756102
3.178659,101.6542844
3.1806224,101.6602472
3.178659,101.6542844
3.1840147,101.6764328
3.1890345,101.6536294
3.1816568,101.6590447
3.1836303,101.6747209
3.1858813,101.6686984
3.1820947,101.6484406
3.182661,101.6743136
3.2077724,101.6566236
3.1819387,101.6572921
3.1905448,101.6773184
3.1856709,101.6569132
3.1856709,101.6569132
3.1856709,101.6569132
3.1958905,101.6591471
3.1960232,101.6556645
3.1964302,101.6734203
3.180567,101.6566253
3.1652435,101.6483488
3.1947453,101.6598689
3.1976979,101.6543802
3.1951574,101.6577589
3.1858813,101.6686984
3.1906618,101.6629206
3.1954896,101.6515
3.182661,101.6743136
3.182661,101.6743136
3.182661,101.6743136
3.178612,101.65495
3.195858,101.6562363
3.1835854,101.6778001
3.1985195,101.6576553
3.1858813,101.6686984
3.1858813,101.6686984
3.1858813,101.6686984
3.1970427,101.6578034
3.180567,101.6566253
3.180567,101.6566253
3.1996958,101.6553278
3.1858813,101.6686984
3.1858813,101.6686984
3.1891565,101.6744797
3.1882316,101.6555886
3.1891565,101.6744797
3.195423,101.6565622
3.1962683,101.6732426
3.178612,101.65495
3.1805975,101.6516652
3.1858813,101.6686984
3.1836303,101.6747209
3.191726,101.6733869
3.1970949,101.659126
3.1900598,101.6584591
3.199504,101.6579812
3.1856709,101.6569132
3.181058,101.6523797
3.1836303,101.6747209
3.1818638,101.6584591
3.1817941,101.6572964
3.1817941,101.6572964
3.1817114,101.6805274
3.1895224,101.677664
3.1976193,101.655096
3.178659,101.6542844
3.1947453,101.6598689
3.1856709,101.6569132
3.1963624,101.6551451
3.182661,101.6743136
3.1980994,101.6527599
3.1858813,101.6686984
3.1822813,101.659804
3.1858813,101.6686984
3.1817114,101.6805274
3.1828531,101.6779113
3.178659,101.6542844
3.1858813,101.6686984
3.191726,101.6733869
3.1836303,101.6747209
3.1868452,101.6622195
3.1947453,101.6598689
3.18741,101.6789673
3.1858813,101.6686984
3.1854789,101.6761593
3.1858332,101.660639
3.1883745,101.6570624
3.178659,101.6542844
3.178659,101.6542844
3.178659,101.6542844
3.1902661,101.6575905
3.1947453,101.6598689
3.1858813,101.6686984
3.1858813,101.6686984
3.1823589,101.6783808
3.1973633,101.6585487
3.1858813,101.6686984
3.1858813,101.6686984
3.1969508,101.6550167
3.187179,101.6666108
3.178659,101.6542844
3.182661,101.6743136
3.1817114,101.6805274
3.1856709,101.6569132
3.1977771,101.6533466
3.182661,101.6743136
3.1835853,101.6594394
3.1858813,101.6686984
3.188107,101.6559251
3.191726,101.6733869
3.183303,101.6601368
3.183303,101.6601368
3.1835484,101.6602881
3.1858034,101.6764264
3.1858813,101.6686984
3.1980994,101.6527599
3.1856709,101.6569132
3.1877783,101.6570607
3.1840605,101.6702228
3.1854285,101.656071
3.178612,101.65495
3.183303,101.6601368
3.178612,101.65495
3.1947453,101.6598689
3.1827886,101.6790072
3.1870308,101.6774264
3.1858813,101.6686984
3.1947453,101.6598689
3.1942752,101.6611519
3.1894322,101.6582971
3.1856709,101.6569132
3.178659,101.6542844
3.1864144,101.6765303
3.1864144,101.6765303
3.1858813,101.6686984
3.178612,101.65495
3.1986568,101.6528004
3.185503,101.6788144
3.1894686,101.6756102
3.1856709,101.6569132
3.1968035,101.6605681
3.1858813,101.6686984
3.197774,101.6532298
3.1868452,101.6622195
3.1856709,101.6569132
3.183303,101.6601368
3.187619,101.6749988
3.1973451,101.655648
3.1895491,101.6721766
3.1954576,101.6558233
3.1854789,101.6761593
3.1856709,101.6569132
3.1856709,101.6569132
3.1962909,101.674319
3.1856709,101.6569132
3.180567,101.6566253
3.1870695,101.6760931
3.1859357,101.6773659
3.1858813,101.6686984
3.1970204,101.6604555
3.1858813,101.6686984
3.2077724,101.6566236
3.1871713,101.6779669
3.1967995,101.66057
3.1820547,101.6485041
3.1868452,101.6622195
3.1970217,101.6556551
3.1968015,101.660569
3.1976338,101.6571754
3.178612,101.65495
3.1969207,101.6605003
3.1837871,101.6527611
3.1815526,101.6480144
3.199365,101.6533871
3.1965098,101.6580066
3.1806224,101.6602472
3.1942752,101.6611519
3.1999125,101.6591505
3.183303,101.6601368
3.1854899,101.6600447
3.1856709,101.6569132
3.1856709,101.6569132
3.1817114,101.6805274
3.1968075,101.6605662
3.1968075,101.6605662
3.2077724,101.6566236
3.2077724,101.6566236
3.1968075,101.6605662
3.1890345,101.6536294
3.1858813,101.6686984
3.2077724,101.6566236
3.1806224,101.6602472
3.1969223,101.660507
3.1974558,101.6570254
3.178612,101.65495
3.1968075,101.6605662
3.1968075,101.6605662
3.1836425,101.6607942
3.1840056,101.6722002
3.1968075,101.6605662
3.1967995,101.66057
3.1827435,101.6597595
3.1827435,101.6597595
3.1995015,101.6556806
3.1969488,101.6604883
3.1858813,101.6686984
3.1970902,101.6604229
3.198071,101.660477
3.1858813,101.6686984
3.1806224,101.6602472
3.1969207,101.6605003
3.1887353,101.6537485
3.1887526,101.6537193
3.1820947,101.6484406
3.1817114,101.6805274
3.2077724,101.6566236
3.1873327,101.6755342
3.187304,101.6755847
3.1947453,101.6598689
3.1858813,101.6686984
3.1837871,101.6527611
3.1858813,101.6686984
3.1817114,101.6805274
3.178659,101.6542844
3.178659,101.6542844
3.2077724,101.6566236
3.1898722,101.6583486
3.1830007,101.6767059
3.1858813,101.6686984
3.1947453,101.6598689
3.1904842,101.6645889
3.178612,101.65495
3.1858813,101.6686984
3.1858813,101.6686984
3.1836303,101.6747209
3.178659,101.6542844
3.1943204,101.6579722
3.183303,101.6601368
3.1727442,101.6499589
3.1815039,101.6593807
3.187179,101.6666108
3.1858813,101.6686984
3.1858813,101.6686984
3.1969223,101.660507
3.1976075,101.653869
3.1984278,101.6586814
3.1856709,101.6569132
3.1858813,101.6686984
3.1879584,101.6561954
3.1947453,101.6598689
3.1968075,101.6605662
3.1858332,101.660639
3.1947453,101.6598689
3.1947453,101.6598689
3.1889614,101.6537633
3.1895195,101.6584613
3.1856709,101.6569132
3.183303,101.6601368
3.1835498,101.6697916
3.1835811,101.669658
3.178612,101.65495
3.178612,101.65495
3.1947453,101.6598689
3.183303,101.6601368
3.1828856,101.6763947
3.1839142,101.6478712
3.1964102,101.6586503
3.1868594,101.6783226
3.1858813,101.6686984
3.1845939,101.6694178
3.1817114,101.6805274
3.1952594,101.6565775
3.1858813,101.6686984
3.1825282,101.677664
3.1833477,101.6743776
3.1964102,101.6586503
3.1967736,101.6555693
3.1987679,101.6555481
3.178612,101.65495
3.178659,101.6542844
3.1806224,101.6602472
3.1856709,101.6569132
3.1858813,101.6686984
3.1806976,101.6511569
3.1806224,101.6602472
3.1817114,101.6805274
3.1836118,101.6538183
3.1854899,101.6600447
3.1855656,101.6586036
3.1868452,101.6622195
3.1872876,101.6678291
3.1872876,101.6678291
3.1872876,101.6678291
3.1889614,101.6537633
3.1880135,101.6756849
3.1960935,101.6546459
3.1970228,101.6535416
3.1947453,101.6598689
3.178659,101.6542844
3.1818047,101.6482359
3.1901497,101.6788339
3.1858813,101.6686984
3.1875657,101.6747008
3.1973421,101.6550942
3.16654,101.627236
3.16654,101.627236
3.16654,101.627236
3.1818206,101.6607433
3.1995268,101.6559349
3.1978695,101.6549582
3.1830864,101.6784894
3.1990393,101.6529423
3.1970217,101.6556551
3.1956729,101.6565808
3.1880135,101.6756849
3.1867465,101.6768654
3.1867465,101.6768654
3.1864732,101.6766831
3.1867465,101.6768654
3.1821729,101.6771667
3.182661,101.6743136
3.184522,101.6766666
3.188745,101.6770846
3.1825938,101.678622
3.1806224,101.6602472
3.1840605,101.6702228
3.1947453,101.6598689
3.183303,101.6601368
3.1976338,101.6571754
3.178659,101.6542844
3.1887526,101.6537193
3.1868452,101.6622195
3.1887353,101.6537485
3.1906577,101.6642055
3.178659,101.6542844
3.1947453,101.6598689
3.178659,101.6542844
3.178659,101.6542844
3.196086,101.6548137
3.1823161,101.6787187
3.1858813,101.6686984
3.1897997,101.6583311
3.1874385,101.677846
3.183303,101.6601368
3.1806976,101.6511569
3.1806976,101.6511569
3.1806976,101.6511569
3.1806976,101.6511569
3.1806976,101.6511569
3.1882387,101.6784326
3.1956729,101.6565808
3.1858813,101.6686984
3.1951706,101.656603
3.180842,101.650901
3.178659,101.6542844
3.1820947,101.6484406
3.1856709,101.6569132
3.1833477,101.6743776
3.1900259,101.658059
3.1856709,101.6569132
3.178612,101.65495
3.1889807,101.6536987
3.1898155,101.6576036
3.1873787,101.6457593
3.1895913,101.658765
3.1864235,101.6679471
3.1854222,101.6559948
3.1806976,101.6511569
3.1862206,101.6771989
3.1806224,101.6602472
3.1878295,101.6555285
3.1858813,101.6686984
3.1880237,101.6564808
3.1858813,101.6686984
3.1824821,101.6593745
3.1968075,101.6605662
3.1817114,101.6805274
3.1874035,101.6753458
3.1978046,101.652905
3.1952594,101.6565775
3.178659,101.6542844
3.1979502,101.6545568
3.1868271,101.667512
3.183303,101.6601368
3.1887353,101.6537485
3.1806224,101.6602472
3.1954217,101.6736543
3.178612,101.65495
3.183752,101.6768217
3.1856709,101.6569132
3.1858813,101.6686984
3.1858813,101.6686984
3.1858813,101.6686984
3.1977038,101.6600152
3.1977038,101.6600152
3.1820174,101.64759
3.187179,101.6666108
3.1871471,101.6769513
3.1900797,101.6769273
3.1856709,101.6569132
3.1863789,101.6472752
3.1817114,101.6805274
3.1875798,101.6562644
3.1875798,101.6562644
3.1842645,101.6477763
3.1885631,101.6758384
3.1842645,101.6477763
3.178659,101.6542844
3.191857,101.6527465
3.2077724,101.6566236
3.1910627,101.6643583
3.1979502,101.6545568
3.1868452,101.6622195
3.1996615,101.6577274
3.1947453,101.6598689
3.1926305,101.6526847
3.1973451,101.655648
3.1858813,101.6686984
3.178659,101.6542844
3.1976338,101.6571754
3.1947453,101.6598689
3.1856709,101.6569132
3.1724686,101.6497327
3.1868452,101.6622195
3.1887866,101.6536523
3.1970956,101.6590605
3.1947453,101.6598689
3.1976483,101.6586925
3.1817114,101.6805274
3.1838987,101.6778961
3.1856709,101.6569132
3.1947453,101.6598689
3.1836674,101.6780894
3.1859837,101.648487
3.1817075,101.6803907
3.1861374,101.6590103
3.1876568,101.6745557
3.1840212,101.6476099
3.178612,101.65495
3.1965156,101.6567809
3.1806224,101.6602472
3.1858813,101.6686984
3.1920041,101.6642499
3.1837157,101.6479232
3.1806224,101.6602472
3.1847026,101.647581
3.1967736,101.6555693
3.1858813,101.6686984
3.1858813,101.6686984
3.187137,101.6775856
3.1858813,101.6686984
3.1727442,101.6499589
3.1991743,101.65282
3.1916315,101.6522797
3.197997,101.6529128
3.1810816,101.6487283
3.1991743,101.65282
3.1991743,101.65282
3.1872934,101.6665258
3.1864011,101.6765777
3.1817114,101.6805274
3.1817114,101.6805274
3.1969931,101.6579976
3.1969931,101.6579976
3.1862206,101.6771989
3.1954058,101.6738205
3.1947453,101.6598689
3.1856709,101.6569132
3.1842854,101.6765216
3.1969083,101.6580107
3.1806224,101.6602472
3.178612,101.65495
3.1889807,101.6536987
3.1956729,101.6565808
3.1969495,101.6533468
3.1956729,101.6565808
3.178659,101.6542844
3.178659,101.6542844
3.1953426,101.6560031
3.1953426,101.6560031
3.178659,101.6542844
3.1956127,101.6560275
3.1953426,101.6560031
3.1856709,101.6569132
3.1884927,101.679174
3.1882483,101.679147
3.1883752,101.6791611
3.1806224,101.6602472
3.1835484,101.6602881
3.1893552,101.6768405
3.1858813,101.6686984
3.1889614,101.6537633
3.1806224,101.6602472
3.1959117,101.6733314
3.181414,101.6591038
3.1808744,101.6770883
3.1846478,101.6782559
3.1840899,101.6479914
3.1830007,101.6767059
3.1972593,101.6590482
3.1811344,101.6524242
3.1858813,101.6686984
3.1857784,101.6781565
3.1817114,101.6805274
3.1817114,101.6805274
3.1868452,101.6622195
3.1817114,101.6805274
3.1894686,101.6756102
3.1831631,101.6490166
3.1976338,101.6571754
3.1856709,101.6569132
3.1856709,101.6569132
3.1920723,101.6525078
3.1920723,101.6525078
3.1833477,101.6743776
3.1900282,101.6716947
3.1927701,101.6560285
3.1700483,101.6575452
3.1995343,101.655385
3.1995583,101.6531053
3.1995583,101.6531053
3.1806224,101.6602472
3.1871962,101.6668043
3.183303,101.6601368
3.1951248,101.6580812
3.1975783,101.6547359
3.1949085,101.658071
3.1991992,101.6585633
3.1856709,101.6569132
3.1856709,101.6569132
3.1968689,101.6560638
3.1840459,101.6479614
3.1947453,101.6598689
3.180567,101.6566253
3.1858813,101.6686984
3.1806224,101.6602472
3.1995888,101.6581302
3.1840605,101.6702228
3.197929,101.6570829
3.1840653,101.677889
3.163056757,101.6266323
3.163879582,101.6281421
3.1975202,101.6576414
3.1958368,101.6570981
3.1817114,101.6805274
3.1806224,101.6602472
3.1817114,101.6805274
3.190751,101.6627828
3.1870133,101.6783226
3.1858813,101.6686984
3.180567,101.6566253
3.1947453,101.6598689
3.1953025,101.665049
3.1953025,101.665049
3.1953025,101.665049
3.178659,101.6542844
3.1899988,101.6751079
3.1836303,101.6747209
3.1817114,101.6805274
3.1858813,101.6686984
3.1985775,101.6561022
3.1964343,101.6730646
3.1806224,101.6602472
3.1821729,101.6771667
3.1844166,101.647185
3.1889807,101.6536987
3.1824143,101.6487496
3.1856709,101.6569132
3.1947453,101.6598689
3.1947453,101.6598689
3.190751,101.6627828
3.1832187,101.6608026
3.1972593,101.6590482
3.1832187,101.6608026
3.1947453,101.6598689
3.1858332,101.660639
3.1986568,101.6528004
3.1985814,101.6766719
3.1840605,101.6702228
3.1962458,101.6581558
3.1806224,101.6602472
3.191726,101.6733869
3.191726,101.6733869
3.1858813,101.6686984
3.1992141,101.6545766
3.1868452,101.6622195
3.1761521,101.6483472
3.1825938,101.678622
3.1887975,101.6536372
3.1858813,101.6686984
3.1858813,101.6686984
3.1885018,101.6572165
3.1858813,101.6686984
3.183303,101.6601368
3.197997,101.6529128
3.1858332,101.660639
3.1806224,101.6602472
3.1976132,101.6592372
3.191555,101.6522352
3.1826352,101.6591371
3.1858813,101.6686984
3.1806224,101.6602472
3.1873092,101.6763605
3.1856709,101.6569132
3.1947453,101.6598689
3.1947453,101.6598689
3.1833826,101.6789073
3.1858813,101.6686984
3.1806224,101.6602472
3.1817308,101.6776926
3.1894322,101.6582971
3.18453,101.6693708
3.1858813,101.6686984
3.1974869,101.6570862
3.1817114,101.6805274
3.1906508,101.6770818
3.1856709,101.6569132
3.1868452,101.6622195
3.1974723,101.654747
3.1989229,101.6549581
3.1989229,101.6549581
3.1989229,101.6549581
3.1858813,101.6686984
3.1817308,101.6776926
3.1856709,101.6569132
3.1831423,101.6593705
3.1806224,101.6602472
3.1947453,101.6598689
3.1868452,101.6622195
3.1858813,101.6686984
3.1854222,101.6559948
3.1981447,101.6527901
3.1858813,101.6686984
3.1873675,101.6662409
3.1858813,101.6686984
3.178612,101.65495
3.1868452,101.6622195
3.1817114,101.6805274
3.178612,101.65495
3.1858813,101.6686984
3.1849792,101.6780624
3.1890345,101.6536294
3.1871962,101.6668043
3.183303,101.6601368
3.1871729,101.6757108
3.1986569,101.652803
3.1882387,101.6784326
3.1967736,101.6555693
3.1983385,101.6589148
3.1856709,101.6569132
3.1859626,101.6590685
3.1836303,101.6747209
3.1887353,101.6537485
3.1868452,101.6622195
3.180491,101.6584382
3.1891565,101.6744797
3.1856709,101.6569132
3.1854789,101.6761593
3.1854789,101.6761593
3.1806224,101.6602472
3.1806976,101.6511569
3.1830722,101.6766264
3.1970369,101.6576391
3.1856709,101.6569132
3.182068,101.6780361
3.184522,101.6766666
3.1883441,101.6787879
3.1924082,101.6528858
3.1806224,101.6602472
3.1831631,101.6490166
3.1858813,101.6686984
3.1859837,101.648487
3.1859837,101.648487
3.1894686,101.6756102
3.1817114,101.6805274
3.1880245,101.6564141
3.1887866,101.6536523
3.197021,101.6582307
3.1832041,101.6786178
3.1806224,101.6602472
3.1856709,101.6569132
3.1868452,101.6622195
3.1836303,101.6747209
3.1836303,101.6747209
3.1968522,101.6565848
3.1873675,101.6662409
3.1856709,101.6569132
3.1954649,101.6733972
3.1889614,101.6537633
3.1981447,101.6527901
3.178659,101.6542844
3.1856709,101.6569132
3.1859012,101.6595372
3.1854143,101.6764506
3.1843419,101.6761675
3.1858813,101.6686984
3.1828365,101.6791692
3.1817114,101.6805274
3.1954173,101.6734441
3.1965287,101.6732202
3.1977837,101.6576472
3.1820478,101.6580322
3.180567,101.6566253
3.1817496,101.6579312
3.1871962,101.6668043
3.1824143,101.6487496
3.178612,101.65495
3.1899784,101.6754225
3.183303,101.6601368
3.178612,101.65495
3.183303,101.6601368
3.1813506,101.6583545
3.1973451,101.655648
3.1806224,101.6602472
3.1806224,101.6602472
3.1821729,101.6771667
3.178612,101.65495
3.187179,101.6666108
3.1956607,101.6574922
3.1858332,101.660639
3.1817114,101.6805274
3.1806224,101.6602472
3.1858332,101.660639
3.178612,101.65495
3.1856709,101.6569132
3.1967957,101.6557393
3.1817114,101.6805274
3.1956729,101.6565808
3.178612,101.65495
3.1961803,101.6732916
3.1817114,101.6805274
3.1855062,101.676324
3.1871962,101.6668043
3.1817114,101.6805274
3.1858813,101.6686984
3.1864794,101.6560139
3.1817264,101.6802253
3.1983934,101.6574922
3.1871962,101.6668043
3.1806976,101.6511569
3.1806224,101.6602472
3.1858813,101.6686984
3.1873675,101.6662409
3.1892975,101.6720752
3.1806224,101.6602472
3.1856709,101.6569132
3.1977362,101.65403
3.1871962,101.6668043
3.1839087,101.6480336
3.1954649,101.6733972
3.1947453,101.6598689
3.1868452,101.6622195
3.1963694,101.6569476
3.1856709,101.6569132
3.1652435,101.6483488
3.1858813,101.6686984
3.1962893,101.6585384
3.1819431,101.6480262
3.1947453,101.6598689
3.1858332,101.660639
3.195982,101.6735749
3.1887353,101.6537485
3.1836118,101.6538183
3.1860107,101.6765125
3.1806224,101.6602472
3.1727442,101.6499589
3.1727442,101.6499589
3.1902123,101.6634616
3.1902123,101.6634616
3.1968689,101.6560638
3.1880296,101.6555533
3.1864794,101.6560139
3.1864794,101.6560139
3.1864794,101.6560139
3.178612,101.65495
3.1824143,101.6487496
3.1887526,101.6537193
3.1958368,101.6570981
3.1958368,101.6570981
3.1858813,101.6686984
3.1856709,101.6569132